[2024-11-29 16:03:46,361 INFO server]: Received UpdateGlobalModel request from client 794e7f6e-8e20-4ef6-82a0-88e21b389ad2
[2024-11-29 16:03:46,371 INFO server]: Received UpdateGlobalModel request from client dbb2c525-8662-4cc0-aad3-49ed7f19a662
[2024-11-29 16:03:46,993 INFO server]: Received UpdateGlobalModel request from client 57f0a286-4eeb-40f2-a61f-15d866c01d45
[2024-11-29 16:03:47,037 INFO server]: Received UpdateGlobalModel request from client edd3cab8-b27a-4f3e-a438-17313ebb3800
[2024-11-29 16:03:48,432 INFO server]: Received UpdateGlobalModel request from client edd3cab8-b27a-4f3e-a438-17313ebb3800
[2024-11-29 16:03:48,521 INFO server]: Received UpdateGlobalModel request from client 794e7f6e-8e20-4ef6-82a0-88e21b389ad2
[2024-11-29 16:03:48,524 INFO server]: Received UpdateGlobalModel request from client dbb2c525-8662-4cc0-aad3-49ed7f19a662
[2024-11-29 16:03:48,555 INFO server]: Received UpdateGlobalModel request from client 57f0a286-4eeb-40f2-a61f-15d866c01d45
[2024-11-29 16:03:49,247 INFO server]: Received UpdateGlobalModel request from client 794e7f6e-8e20-4ef6-82a0-88e21b389ad2
[2024-11-29 16:03:49,305 INFO server]: Received UpdateGlobalModel request from client edd3cab8-b27a-4f3e-a438-17313ebb3800
[2024-11-29 16:03:49,334 INFO server]: Received UpdateGlobalModel request from client 57f0a286-4eeb-40f2-a61f-15d866c01d45
[2024-11-29 16:03:49,451 INFO server]: Received UpdateGlobalModel request from client dbb2c525-8662-4cc0-aad3-49ed7f19a662
[2024-11-29 16:03:50,441 INFO server]: Received UpdateGlobalModel request from client dbb2c525-8662-4cc0-aad3-49ed7f19a662
[2024-11-29 16:03:50,486 INFO server]: Received UpdateGlobalModel request from client 57f0a286-4eeb-40f2-a61f-15d866c01d45
[2024-11-29 16:03:50,500 INFO server]: Received UpdateGlobalModel request from client edd3cab8-b27a-4f3e-a438-17313ebb3800
[2024-11-29 16:03:50,521 INFO server]: Received UpdateGlobalModel request from client 794e7f6e-8e20-4ef6-82a0-88e21b389ad2
[2024-11-29 16:03:51,362 INFO server]: Received UpdateGlobalModel request from client 57f0a286-4eeb-40f2-a61f-15d866c01d45
[2024-11-29 16:03:51,423 INFO server]: Received UpdateGlobalModel request from client dbb2c525-8662-4cc0-aad3-49ed7f19a662
[2024-11-29 16:03:51,535 INFO server]: Received UpdateGlobalModel request from client 794e7f6e-8e20-4ef6-82a0-88e21b389ad2
[2024-11-29 16:03:51,549 INFO server]: Received UpdateGlobalModel request from client edd3cab8-b27a-4f3e-a438-17313ebb3800
[2024-11-29 16:03:52,597 INFO server]: Received UpdateGlobalModel request from client 57f0a286-4eeb-40f2-a61f-15d866c01d45
[2024-11-29 16:03:52,604 INFO server]: Received UpdateGlobalModel request from client edd3cab8-b27a-4f3e-a438-17313ebb3800
[2024-11-29 16:03:52,655 INFO server]: Received UpdateGlobalModel request from client 794e7f6e-8e20-4ef6-82a0-88e21b389ad2
[2024-11-29 16:03:52,658 INFO server]: Received UpdateGlobalModel request from client dbb2c525-8662-4cc0-aad3-49ed7f19a662
[2024-11-29 16:03:54,814 INFO server]: Received UpdateGlobalModel request from client edd3cab8-b27a-4f3e-a438-17313ebb3800
[2024-11-29 16:03:54,872 INFO server]: Received UpdateGlobalModel request from client 794e7f6e-8e20-4ef6-82a0-88e21b389ad2
[2024-11-29 16:03:54,903 INFO server]: Received UpdateGlobalModel request from client dbb2c525-8662-4cc0-aad3-49ed7f19a662
[2024-11-29 16:03:54,930 INFO server]: Received UpdateGlobalModel request from client 57f0a286-4eeb-40f2-a61f-15d866c01d45
[2024-11-29 16:03:55,905 INFO server]: Received UpdateGlobalModel request from client dbb2c525-8662-4cc0-aad3-49ed7f19a662
[2024-11-29 16:03:55,954 INFO server]: Received UpdateGlobalModel request from client 794e7f6e-8e20-4ef6-82a0-88e21b389ad2
[2024-11-29 16:03:55,960 INFO server]: Received UpdateGlobalModel request from client edd3cab8-b27a-4f3e-a438-17313ebb3800
[2024-11-29 16:03:55,975 INFO server]: Received UpdateGlobalModel request from client 57f0a286-4eeb-40f2-a61f-15d866c01d45
[2024-11-29 16:03:56,875 INFO server]: Received UpdateGlobalModel request from client 794e7f6e-8e20-4ef6-82a0-88e21b389ad2
[2024-11-29 16:03:57,086 INFO server]: Received UpdateGlobalModel request from client edd3cab8-b27a-4f3e-a438-17313ebb3800
[2024-11-29 16:03:57,099 INFO server]: Received UpdateGlobalModel request from client 57f0a286-4eeb-40f2-a61f-15d866c01d45
[2024-11-29 16:03:57,107 INFO server]: Received UpdateGlobalModel request from client dbb2c525-8662-4cc0-aad3-49ed7f19a662
[2024-11-29 16:03:58,160 INFO server]: Received UpdateGlobalModel request from client edd3cab8-b27a-4f3e-a438-17313ebb3800
[2024-11-29 16:03:58,180 INFO server]: Received UpdateGlobalModel request from client 794e7f6e-8e20-4ef6-82a0-88e21b389ad2
