[2024-11-29 18:25:36,555 INFO server]: Received UpdateGlobalModel request from client bde2661d-8e70-43a3-95b9-df8f2bb9e806
[2024-11-29 18:25:36,634 INFO server]: Received UpdateGlobalModel request from client 971b8dfe-ad22-42bb-98a7-fdef61121347
[2024-11-29 18:25:36,772 INFO server]: Received UpdateGlobalModel request from client d0003d4f-67e8-4a3a-bd5f-5faf477f4ccb
[2024-11-29 18:25:36,916 INFO server]: Received UpdateGlobalModel request from client b6c66101-78f2-42e1-851f-64781673045f
[2024-11-29 18:26:12,093 INFO server]: Received UpdateGlobalModel request from client 971b8dfe-ad22-42bb-98a7-fdef61121347
[2024-11-29 18:26:12,100 INFO server]: Received UpdateGlobalModel request from client bde2661d-8e70-43a3-95b9-df8f2bb9e806
[2024-11-29 18:26:12,365 INFO server]: Received UpdateGlobalModel request from client d0003d4f-67e8-4a3a-bd5f-5faf477f4ccb
[2024-11-29 18:26:12,405 INFO server]: Received UpdateGlobalModel request from client b6c66101-78f2-42e1-851f-64781673045f
[2024-11-29 18:26:49,218 INFO server]: Received UpdateGlobalModel request from client bde2661d-8e70-43a3-95b9-df8f2bb9e806
[2024-11-29 18:26:49,283 INFO server]: Received UpdateGlobalModel request from client d0003d4f-67e8-4a3a-bd5f-5faf477f4ccb
[2024-11-29 18:26:49,483 INFO server]: Received UpdateGlobalModel request from client b6c66101-78f2-42e1-851f-64781673045f
[2024-11-29 18:26:49,542 INFO server]: Received UpdateGlobalModel request from client 971b8dfe-ad22-42bb-98a7-fdef61121347
[2024-11-29 18:27:26,803 INFO server]: Received UpdateGlobalModel request from client 971b8dfe-ad22-42bb-98a7-fdef61121347
[2024-11-29 18:27:27,224 INFO server]: Received UpdateGlobalModel request from client d0003d4f-67e8-4a3a-bd5f-5faf477f4ccb
[2024-11-29 18:27:27,385 INFO server]: Received UpdateGlobalModel request from client bde2661d-8e70-43a3-95b9-df8f2bb9e806
[2024-11-29 18:27:27,408 INFO server]: Received UpdateGlobalModel request from client b6c66101-78f2-42e1-851f-64781673045f
[2024-11-29 18:28:08,156 INFO server]: Received UpdateGlobalModel request from client bde2661d-8e70-43a3-95b9-df8f2bb9e806
[2024-11-29 18:28:08,417 INFO server]: Received UpdateGlobalModel request from client b6c66101-78f2-42e1-851f-64781673045f
[2024-11-29 18:28:08,453 INFO server]: Received UpdateGlobalModel request from client 971b8dfe-ad22-42bb-98a7-fdef61121347
[2024-11-29 18:28:08,475 INFO server]: Received UpdateGlobalModel request from client d0003d4f-67e8-4a3a-bd5f-5faf477f4ccb
